filename,width,height,class,xmin,ymin,xmax,ymax
447675edf75967ed3047d0ff28f280ac_jpg.rf.002f1f1f9d1b9c4f2e1921a4c3a2d0ae.jpg,640,640,3,192,163,314,195
447675edf75967ed3047d0ff28f280ac_jpg.rf.002f1f1f9d1b9c4f2e1921a4c3a2d0ae.jpg,640,640,1,304,318,388,345
447675edf75967ed3047d0ff28f280ac_jpg.rf.002f1f1f9d1b9c4f2e1921a4c3a2d0ae.jpg,640,640,2,237,361,300,388
447675edf75967ed3047d0ff28f280ac_jpg.rf.002f1f1f9d1b9c4f2e1921a4c3a2d0ae.jpg,640,640,0,188,460,410,503
c69b7f40144bf1cd4051251754af93ed_jpg.rf.00eee9c15dac932ff0c9e10b96492588.jpg,640,640,3,185,152,310,188
c69b7f40144bf1cd4051251754af93ed_jpg.rf.00eee9c15dac932ff0c9e10b96492588.jpg,640,640,1,343,182,437,215
c69b7f40144bf1cd4051251754af93ed_jpg.rf.00eee9c15dac932ff0c9e10b96492588.jpg,640,640,2,236,236,279,265
c69b7f40144bf1cd4051251754af93ed_jpg.rf.00eee9c15dac932ff0c9e10b96492588.jpg,640,640,0,195,456,451,519
2bfd2f150b31581bac34445b5c49dd26_jpg.rf.00935f72bc876c4b40e97c285c54a3b2.jpg,640,640,3,193,132,350,185
2bfd2f150b31581bac34445b5c49dd26_jpg.rf.00935f72bc876c4b40e97c285c54a3b2.jpg,640,640,1,351,184,446,222
2bfd2f150b31581bac34445b5c49dd26_jpg.rf.00935f72bc876c4b40e97c285c54a3b2.jpg,640,640,2,241,201,292,235
2bfd2f150b31581bac34445b5c49dd26_jpg.rf.00935f72bc876c4b40e97c285c54a3b2.jpg,640,640,0,190,504,436,575
82a73cb534ca5805e7136e48059e7000_jpg.rf.019ae649dee09f95eb073d5813d2d78c.jpg,640,640,3,185,212,499,285
82a73cb534ca5805e7136e48059e7000_jpg.rf.019ae649dee09f95eb073d5813d2d78c.jpg,640,640,1,330,302,436,342
82a73cb534ca5805e7136e48059e7000_jpg.rf.019ae649dee09f95eb073d5813d2d78c.jpg,640,640,2,242,328,296,359
82a73cb534ca5805e7136e48059e7000_jpg.rf.019ae649dee09f95eb073d5813d2d78c.jpg,640,640,0,208,437,450,503
EL-ezv8UEAMzzu4_jpg.rf.0103bafae8866b00afb05924774b640a.jpg,640,640,3,186,185,388,237
EL-ezv8UEAMzzu4_jpg.rf.0103bafae8866b00afb05924774b640a.jpg,640,640,1,382,227,425,258
EL-ezv8UEAMzzu4_jpg.rf.0103bafae8866b00afb05924774b640a.jpg,640,640,2,237,277,281,305
b4047be5f6a409a7ac20777d25d5a058_jpg.rf.00361daa2d635af7413d14c9799a9e03.jpg,640,640,3,227,189,351,235
b4047be5f6a409a7ac20777d25d5a058_jpg.rf.00361daa2d635af7413d14c9799a9e03.jpg,640,640,1,363,236,451,276
b4047be5f6a409a7ac20777d25d5a058_jpg.rf.00361daa2d635af7413d14c9799a9e03.jpg,640,640,2,263,257,306,288
b4047be5f6a409a7ac20777d25d5a058_jpg.rf.00361daa2d635af7413d14c9799a9e03.jpg,640,640,0,202,430,431,504
0521_adhar_jpg.rf.0188ba6593c38a70e56de2509a244a4d.jpg,640,640,3,52,392,123,419
0521_adhar_jpg.rf.0188ba6593c38a70e56de2509a244a4d.jpg,640,640,1,127,417,178,440
0521_adhar_jpg.rf.0188ba6593c38a70e56de2509a244a4d.jpg,640,640,2,70,436,96,456
0521_adhar_jpg.rf.0188ba6593c38a70e56de2509a244a4d.jpg,640,640,0,24,535,144,571
dd73e0797834fecca12c450729c37fef_jpg.rf.01548bd2ae33933dff4145a20e4e0cde.jpg,640,640,3,198,168,318,211
dd73e0797834fecca12c450729c37fef_jpg.rf.01548bd2ae33933dff4145a20e4e0cde.jpg,640,640,1,417,194,465,226
dd73e0797834fecca12c450729c37fef_jpg.rf.01548bd2ae33933dff4145a20e4e0cde.jpg,640,640,2,261,246,308,280
dd73e0797834fecca12c450729c37fef_jpg.rf.01548bd2ae33933dff4145a20e4e0cde.jpg,640,640,0,209,375,418,442
